                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0056,                 2.3637,                 2.6938,                 1.2742,                0.21142,                0.33147,                0.21298,                0.12096,                0.17274,                0.44145,                0.18277,                0.10963,                  1.266,                 3.1147,                 4.7014,                 1.7377,             0.00032778,             0.00032778,             0.00032778
                      2,                 1.1462,                 2.3534,                 2.3643,                 1.3863,                 0.2864,                0.21596,                0.16028,                0.10296,                0.28005,                 0.2044,                0.14814,                0.08448,                 1.3691,                 3.6502,                 3.8129,                 1.7563,             0.00065457,             0.00065457,             0.00065457
                      3,                 1.2021,                 2.4145,                 2.2053,                 1.4129,                0.35126,                0.28821,                0.12805,                0.07197,                0.35134,                0.27926,                0.11323,                0.07252,                 1.6546,                 3.7346,                 5.7127,                 2.1649,             0.00097475,             0.00097475,             0.00097475
                      4,                 1.2383,                 2.4404,                 2.2296,                 1.4662,                0.19009,                0.40792,                0.22241,                0.13136,                 0.2049,                0.32793,                0.22288,                 0.1135,                 1.3706,                 3.3555,                 3.4726,                 1.6001,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1905,                 2.4242,                 2.0627,                 1.4191,                0.33206,                0.33851,                 0.2335,                0.14236,                0.33636,                0.34576,                0.24297,                0.13294,                 1.2808,                 3.2559,                 2.8164,                 1.5654,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.2175,                 2.4639,                  2.038,                  1.424,                0.33197,                0.19169,                0.15285,                0.08853,                0.30813,                0.16333,                0.12432,                0.06994,                 1.3689,                 3.0796,                  2.708,                 1.6169,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.1851,                 2.3926,                 2.0106,                 1.4078,                0.12707,                0.23994,                0.15416,                0.09392,                0.16725,                0.19099,                0.14548,                0.08772,                 1.4844,                 3.1209,                 2.4674,                 1.7102,              0.0009406,              0.0009406,              0.0009406
                      8,                  1.162,                 2.3758,                 1.9995,                 1.3911,                0.51794,                0.25742,                0.22931,                0.15005,                 0.5059,                 0.2515,                 0.2144,                0.12295,                 1.2718,                 3.1255,                 2.3636,                 1.5068,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1362,                 2.2928,                 1.9253,                 1.3987,                0.53533,                0.27381,                0.30278,                 0.1964,                0.42064,                0.37543,                0.29291,                0.17712,                  1.301,                 2.9186,                 2.0169,                 1.5522,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.0865,                 2.2051,                 1.8716,                 1.3489,                0.23373,                0.40386,                0.25236,                0.16044,                0.22304,                0.37436,                0.23549,                0.13791,                  1.421,                 2.7833,                 2.0179,                 1.6252,              0.0009109,              0.0009109,              0.0009109
                     11,                  1.083,                 2.2349,                 1.8018,                 1.3211,                0.63055,                 0.2345,                0.28703,                0.19373,                0.63055,                 0.2345,                0.27857,                0.17805,                 1.2773,                 2.8232,                 1.8975,                 1.5334,               0.000901,               0.000901,               0.000901
                     12,                 1.0801,                 2.2431,                 1.7624,                 1.3451,                0.42037,                0.28292,                0.27028,                0.15905,                0.42323,                0.26917,                0.25735,                0.15385,                 1.2935,                 2.8336,                 2.2283,                 1.5061,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.0276,                 2.0929,                 1.7431,                 1.2933,                0.28923,                0.38671,                0.29991,                0.19049,                0.28743,                0.36813,                0.27563,                0.16415,                 1.2674,                 2.6457,                 1.8793,                 1.5852,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.0623,                 2.0648,                 1.6899,                 1.3414,                0.25326,                0.38635,                0.28268,                0.18726,                0.24621,                0.37048,                0.26124,                0.16709,                 1.2015,                 2.8981,                 1.8442,                 1.4456,              0.0008713,              0.0008713,              0.0008713
                     15,                0.98893,                 2.0593,                 1.6395,                  1.265,                0.31327,                0.30895,                0.32514,                0.23425,                0.29901,                0.29894,                0.31017,                0.21643,                 1.1976,                 2.7519,                 1.8187,                 1.4872,              0.0008614,              0.0008614,              0.0008614
                     16,                0.98426,                 2.0133,                 1.5772,                 1.2509,                0.48827,                0.30927,                0.34615,                0.22233,                0.44348,                0.28904,                0.33527,                0.19945,                 1.2988,                 2.8077,                 1.9416,                  1.552,              0.0008515,              0.0008515,              0.0008515
                     17,                 0.9294,                  1.936,                  1.496,                 1.2407,                0.32536,                0.33852,                0.37049,                0.26413,                0.33153,                0.33224,                0.33822,                0.24544,                 1.2105,                 2.7636,                 1.7937,                 1.4945,              0.0008416,              0.0008416,              0.0008416
                     18,                0.95248,                 2.0905,                 1.5169,                 1.2454,                0.49767,                  0.251,                0.28938,                0.17886,                0.52055,                0.23233,                0.28244,                 0.1675,                 1.2513,                 2.6577,                 1.7984,                 1.5333,              0.0008317,              0.0008317,              0.0008317
                     19,                0.92411,                 1.9881,                 1.4698,                 1.2291,                0.31672,                0.42276,                 0.4206,                0.28395,                 0.3295,                0.43312,                0.42879,                0.26146,                 1.2625,                 2.6799,                 1.7088,                 1.5515,              0.0008218,              0.0008218,              0.0008218
                     20,                0.92074,                 1.8885,                 1.4365,                 1.2174,                0.84657,                0.25944,                0.40925,                0.30569,                0.86966,                0.26394,                0.41473,                0.29373,                 1.1188,                 2.4201,                 1.6209,                 1.4225,              0.0008119,              0.0008119,              0.0008119
                     21,                0.93648,                  1.863,                  1.453,                 1.2388,                 0.5301,                0.32519,                0.32521,                0.21292,                0.53487,                0.32882,                0.31596,                 0.2056,                 1.1836,                 2.7211,                 1.7921,                 1.4212,               0.000802,               0.000802,               0.000802
                     22,                0.87378,                 1.7429,                 1.4234,                 1.2047,                0.27212,                0.40146,                0.36274,                  0.247,                0.27088,                0.40707,                0.33623,                 0.2169,                 1.1415,                  2.519,                 1.5734,                 1.4376,              0.0007921,              0.0007921,              0.0007921
                     23,                 0.8933,                 1.8093,                  1.391,                 1.2134,                0.50252,                0.35569,                 0.3179,                0.20778,                0.53037,                0.38517,                0.31281,                0.20152,                 1.2292,                  2.684,                 1.7266,                 1.5503,              0.0007822,              0.0007822,              0.0007822
                     24,                 0.8803,                 1.9414,                 1.4012,                 1.2075,                0.44418,                0.46432,                0.33463,                0.21836,                0.44102,                0.47915,                  0.326,                0.19708,                 1.2372,                 2.5308,                 1.6693,                 1.5355,              0.0007723,              0.0007723,              0.0007723
                     25,                0.86703,                 1.8682,                 1.3775,                 1.2006,                0.35083,                0.40851,                0.34839,                0.23913,                 0.4108,                0.35008,                0.33828,                0.21995,                 1.2022,                 2.7479,                 1.6887,                 1.4907,              0.0007624,              0.0007624,              0.0007624
